File	/Users/minjaesong/Downloads/MONOTONE-master/RICKROLL.MON
Length	5 patterns
voices	3
Order list:
00 01 02 03 04 

Order 00
rw | nnn edd | nnn edd | nnn edd
1E | A-4 ... | ... ... | A-4 ...
1F | === ... | ... ... | === ...
20 | G-3 ... | ... ... | G-4 ...
21 | === ... | ... ... | === ...
22 | G-3 ... | ... ... | G-4 ...
23 | === ... | ... ... | === ...
24 | G-3 ... | B-5 ... | G-4 ...
25 | ... ... | ... ... | === ...
26 | G-3 ... | C#6 ... | === ...
27 | === ... | === ... | === ...
28 | G-3 ... | D-6 ... | === ...
29 | G-4 ... | === ... | G-4 ...
2A | G-3 ... | D-6 ... | === ...
2B | === ... | === ... | === ...
2C | G-4 ... | A-5 ... | G-4 ...
2D | === ... | === ... | === ...
2E | G-3 ... | A-5 ... | === ...
2F | === ... | ... ... | === ...
30 | A-3 ... | E-6 ... | A-4 ...
31 | === ... | === ... | === ...
32 | A-4 ... | E-6 ... | A-4 ...
33 | A-3 ... | === ... | === ...
34 | === ... | E-6 ... | A-4 ...
35 | A-4 ... | === ... | === ...
36 | B-3 ... | F#6 ... | A-4 ...
37 | === ... | === ... | === ...
38 | === ... | E-6 ... | A-5 ...
39 | === ... | === ... | === ...
3A | B-4 ... | === ... | === ...
3B | === ... | === ... | === ...
3C | B-4 ... | A-5 ... | A-4 ...
3D | G-4 ... | B-5 ... | B-4 ...
3E | A-3 ... | D-6 ... | D-5 ...
3F | ... ... | B-5 ... | B-4 ...

Order 03
rw | nnn edd | nnn edd | nnn edd

00 | G-3 ... | F#6 ... | D-5 ...
01 | === ... | ... ... | ... ...
02 | G-4 ... | === ... | === ...
03 | === ... | F#6 ... | D-5 ...
04 | G-4 ... | ... ... | ... ...
05 | G-3 ... | === ... | === ...
06 | A-3 ... | E-6 ... | C#5 ...
07 | ... ... | ... ... | ... ...
08 | ... ... | ... ... | === ...
09 | A-4 ... | === ... | ... ...
0A | A-3 ... | ... ... | ... ...
0B | A-2 ... | ... ... | ... ...
0C | A-4 ... | A-5 ... | A-4 ...
0D | === ... | B-5 ... | B-4 ...
0E | A-3 ... | D-6 ... | D-5 ...
0F | A-4 ... | B-5 ... | B-4 ...
10 | F#3 ... | E-6 ... | C#5 ...
11 | === ... | ... ... | ... ...
12 | F#4 ... | === ... | === ...
13 | F#3 ... | F#6 ... | E-5 ...
14 | === ... | ... ... | ... ...
15 | F#4 ... | === ... | === ...
16 | B-3 ... | D-6 ... | D-5 ...
17 | ... ... | ... ... | ... ...
18 | === ... | ... ... | === ...
19 | B-4 ... | C#6 ... | C#5 ...
1A | B-3 ... | B-5 ... | B-4 ...
1B | === ... | === ... | ... ...
1C | A-3 ... | A-5 ... | A-4 ...
1D | === ... | B-5 ... | B-4 ...
1E | A-4 ... | D-6 ... | D-5 ...
1F | A-3 ... | B-5 ... | B-4 ...
20 | G-3 ... | D-6 ... | G-4 ...
21 | ... ... | ... ... | === ...
22 | G-4 ... | === ... | G-4 ...
23 | G-3 ... | ... ... | ... ...
24 | G-4 ... | E-6 ... | G-5 ...
25 | === ... | ... ... | G-4 ...
26 | A-3 ... | C#6 ... | A-3 ...
